,,,,,,,,
,,,,,,,,
Land Registry No.,Tehsil,Village,Plot No.,Area (Hectares),Dimensions (m x m),No. of Sprinklers,No. of Moisture Sensors,Total Cost (INR)
101,Indore,Rajendra Nagar,501,3.65,284 x 144,37,17,455000
102,Bhopal,Ashoka Garden,502,2.42,64 x 297,25,11,305000
103,Ujjain,Nagda,503,2.33,130 x 241,24,11,295000
104,Gwalior,Morar,504,4.41,184 x 289,45,21,555000
105,Jabalpur,Garha,505,0.73,167 x 296,9,3,105000
106,Rewa,Mangawan,506,1.83,108 x 253,19,8,230000
107,Ratlam,Sailana,507,1.8,88 x 288,19,8,230000
108,Khargone,Barwaha,508,1.99,187 x 209,21,9,255000
109,Satna,Amarpatan,509,1.22,197 x 100,13,5,155000
110,Dhar,Manawar,510,2.23,206 x 95,23,10,280000
111,Chhindwara,Pandhurna,511,2.02,217 x 273,21,9,255000
112,Khandwa,Mundi,512,4.86,246 x 220,49,23,600000
113,Hoshangabad,Pipariya,513,3.48,252 x 230,36,17,425000
114,Sehore,Ichhawar,514,4.9,203 x 210,50,24,620000
115,Mandsaur,Malhargarh,515,0.85,89 x 182,10,4,120000
116,Neemuch,Jiran,516,1.27,65 x 280,14,6,170000
117,Shivpuri,Kolaras,517,3.49,95 x 114,36,17,445000
118,Dewas,Sonkatch,518,4.38,246 x 86,45,21,555000
119,Tikamgarh,Jatara,519,2.41,155 x 244,25,11,305000
120,Vidisha,Basoda,520,1.42,251 x 105,15,6,180000
